order_id,order_date,product,category,region,quantity,unit_price,discount,revenue,cost,profit,year,month,year_month,profit_margin
100244,2024-01-01,Comfy Office Chair,Furniture,West,5,216.45,0.0,1082.24,655.91,426.33,2024,1,2024-01,0.3939
101127,2024-01-01,Vivid Monitor 27in,Electronics,West,3,289.2,0.0,867.61,617.14,250.47,2024,1,2024-01,0.2887
102720,2024-01-01,Vivid Monitor 27in,Electronics,North,3,270.23,0.1,729.62,471.72,257.9,2024,1,2024-01,0.3535
101363,2024-01-02,Comfy Office Chair,Furniture,East,1,222.18,0.0,222.18,140.5,81.68,2024,1,2024-01,0.3676
101895,2024-01-02,Aero Laptop 16,Electronics,South,1,1353.86,0.0,1353.86,1009.35,344.51,2024,1,2024-01,0.2545
103368,2024-01-02,Sharp Pen Pack,Office Supplies,South,1,7.83,0.0,7.83,4.73,3.1,2024,1,2024-01,0.3959
100103,2024-01-03,Sharp Notebook Set,Office Supplies,North,1,11.12,0.0,11.12,8.31,2.81,2024,1,2024-01,0.2527
100911,2024-01-03,Buzz Wireless Earbuds,Electronics,West,4,82.76,0.05,314.49,204.99,109.5,2024,1,2024-01,0.3482
102643,2024-01-03,Aero Laptop 16,Electronics,South,1,1249.15,0.0,1249.15,923.39,325.76,2024,1,2024-01,0.2608
103336,2024-01-03,Aero Laptop 14,Electronics,North,3,881.08,0.0,2643.23,1608.9,1034.33,2024,1,2024-01,0.3913
101495,2024-01-04,Comfy Bookshelf,Furniture,Central,1,158.07,0.0,158.07,95.25,62.82,2024,1,2024-01,0.3974
102959,2024-01-04,Sharp Pen Pack,Office Supplies,West,2,8.23,0.05,15.64,9.09,6.55,2024,1,2024-01,0.4188
100057,2024-01-05,Aero Laptop 16,Electronics,South,1,1221.09,0.0,1221.09,721.99,499.1,2024,1,2024-01,0.4087
100264,2024-01-05,Buzz Bluetooth Speaker,Electronics,Central,1,64.4,0.0,64.4,38.53,25.87,2024,1,2024-01,0.4017
101570,2024-01-05,Comfy Standing Desk,Furniture,Central,1,428.98,0.0,428.98,285.54,143.44,2024,1,2024-01,0.3344
101599,2024-01-05,Comfy Office Chair,Furniture,East,3,230.02,0.0,690.06,412.58,277.48,2024,1,2024-01,0.4021
