order_id,order_date,product,category,region,quantity,unit_price,discount,revenue,cost,profit
100244,2024-01-01,Comfy Office Chair,Furniture,West,5,216.45,0.0,1082.24,655.91,426.33
101127,2024-01-01,Vivid Monitor 27in,Electronics,West,3,289.2,0.0,867.61,617.14,250.47
102720,2024-01-01,Vivid Monitor 27in,Electronics,North,3,270.23,0.1,729.62,471.72,257.9
101363,2024-01-02,Comfy Office Chair,Furniture,East,1,222.18,0.0,222.18,140.5,81.68
101895,2024-01-02,Aero Laptop 16,Electronics,South,1,1353.86,0.0,1353.86,1009.35,344.51
103368,2024-01-02,Sharp Pen Pack,Office Supplies,South,1,7.83,0.0,7.83,4.73,3.1
100103,2024-01-03,Sharp Notebook Set,Office Supplies,North,1,11.12,0.0,11.12,8.31,2.81
100911,2024-01-03,Buzz Wireless Earbuds,Electronics,West,4,82.76,0.05,314.49,204.99,109.5
102643,2024-01-03,Aero Laptop 16,Electronics,South,1,1249.15,0.0,1249.15,923.39,325.76
103336,2024-01-03,Aero Laptop 14,Electronics,North,3,881.08,0.0,2643.23,1608.9,1034.33
100103,2024-01-03,Sharp Notebook Set,Office Supplies,North,1,11.12,0.0,11.12,8.31,2.81
101495,2024-01-04,Comfy Bookshelf,Furniture,Central,1,158.07,0.0,158.07,95.25,62.82
102959,2024-01-04,Sharp Pen Pack,Office Supplies,West,2,8.23,0.05,15.64,9.09,6.55
100057,2024-01-05,Aero Laptop 16,Electronics,South,1,1221.09,0.0,1221.09,721.99,499.1
100264,2024-01-05,Buzz Bluetooth Speaker,Electronics,Central,1,64.4,0.0,64.4,38.53,25.87
101570,2024-01-05,Comfy Standing Desk,Furniture,Central,1,428.98,0.0,428.98,285.54,143.44
101599,2024-01-05,Comfy Office Chair,Furniture,East,3,230.02,0.0,690.06,412.58,277.48
101647,2024-01-05,Buzz Bluetooth Speaker,Electronics,West,5,60.92,0.0,304.61,218.62,85.99
102203,2024-01-05,Aero Laptop 16,Electronics,West,1,1381.16,0.1,1243.04,848.83,394.21
101451,2024-01-06,Sharp Pen Pack,Office Supplies,West,3,7.48,0.0,22.43,13.07,9.36
102530,2024-01-06,Vivid Monitor 27in,Electronics,North,2,275.79,0.0,551.59,326.99,224.6
102855,2024-01-06,Comfy Bookshelf,Furniture,South,2,145.99,0.15,248.19,205.67,42.52
103052,2024-01-06,Sharp Whiteboard,Office Supplies,South,2,61.57,0.0,123.15,81.8,41.35
103355,2024-01-06,Sharp Whiteboard,Office Supplies,North,1,67.22,0.0,67.22,48.43,18.79
100084,2024-01-07,Sharp Whiteboard,Office Supplies,South,1,61.69,0.0,61.69,39.13,22.56
100229,2024-01-07,Buzz Bluetooth Speaker,Electronics,East,3,58.84,0.0,176.51,110.7,65.81
100498,2024-01-07,Sharp Pen Pack,Office Supplies,Central,2,8.62,0.0,17.25,10.11,7.14
100694,2024-01-07,Sharp Pen Pack,Office Supplies,Central,4,7.72,0.1,27.8,17.14,10.66
102469,2024-01-07,Sharp Notebook Set,Office Supplies,Central,1,12.69,0.0,12.69,7.84,4.85
100476,2024-01-08,Buzz Bluetooth Speaker,Electronics,West,2,57.86,0.0,115.71,71.67,44.04
100797,2024-01-08,Comfy Bookshelf,Furniture,North,4,145.41,0.0,581.65,432.06,149.59
101253,2024-01-08,Vivid Webcam HD,Electronics,Central,2,44.5,0.0,89.0,64.99,24.01
102571,2024-01-08,Buzz Bluetooth Speaker,Electronics,South,1,61.05,0.0,61.05,43.15,17.9
103413,2024-01-08,Aero Laptop 16,Electronics,West,2,1348.71,0.0,2697.42,1743.09,954.33
103440,2024-01-09,Vivid Webcam HD,Electronics,East,1,44.58,0.0,44.58,32.23,12.35
100527,2024-01-10,Aero Laptop 16,Electronics,South,1,1398.29,0.0,1398.29,902.7,495.59
101465,2024-01-10,Comfy Bookshelf,Furniture,East,1,147.13,0.0,147.13,99.02,48.11
101744,2024-01-10,Buzz Wireless Earbuds,Electronics,East,3,85.85,0.0,257.55,188.27,69.28
102289,2024-01-10,Vivid Monitor 27in,Electronics,East,3,293.56,0.0,880.67,657.14,223.53
103073,2024-01-10,Comfy Bookshelf,Furniture,North,1,143.82,0.0,143.82,89.23,54.59
103223,2024-01-10,Sharp Whiteboard,Office Supplies,Central,2,62.89,0.0,125.77,84.16,41.61
100487,2024-01-11,Vivid Webcam HD,Electronics,East,1,43.75,0.0,43.75,25.36,18.39
100664,2024-01-11,Sharp Pen Pack,Office Supplies,Central,3,7.62,0.0,22.87,16.59,6.28
101631,2024-01-11,Aero Laptop 14,Electronics,Central,2,895.25,0.0,1790.49,1000.84,789.65
101656,2024-01-11,Buzz Wireless Earbuds,Electronics,East,2,82.75,0.0,165.51,105.04,60.47
102314,2024-01-11,Sharp Pen Pack,Office Supplies,South,1,7.58,0.0,7.58,5.02,2.56
100128,2024-01-12,Comfy Bookshelf,Furniture,Central,2,149.28,0.0,298.57,216.27,82.3
101038,2024-01-12,Comfy Standing Desk,Furniture,Central,2,381.73,0.15,648.93,555.36,93.57
101871,2024-01-12,Buzz Wireless Earbuds,Electronics,Central,2,76.92,0.0,153.84,93.03,60.81
103233,2024-01-12,Sharp Pen Pack,Office Supplies,Central,3,8.44,0.0,25.32,16.31,9.01
103353,2024-01-12,Comfy Bookshelf,Furniture,South,1,138.49,0.0,138.49,86.44,52.05
103518,2024-01-12,Comfy Standing Desk,Furniture,South,3,422.93,0.15,1078.47,848.37,230.1
101686,2024-01-13,Vivid Monitor 27in,Electronics,East,5,271.95,0.1,1223.76,779.21,444.55
102079,2024-01-13,Sharp Whiteboard,Office Supplies,North,1,63.0,0.0,63.0,37.48,25.52
103285,2024-01-13,Aero Laptop 16,Electronics,East,1,1259.97,0.05,1196.97,856.17,340.8
101584,2024-01-14,Comfy Bookshelf,Furniture,Central,1,157.85,0.0,157.85,100.9,56.95
102332,2024-01-14,Vivid Webcam HD,Electronics,South,2,42.04,0.0,84.07,52.8,31.27
102378,2024-01-14,Sharp Pen Pack,Office Supplies,North,1,8.19,0.05,7.78,4.91,2.87
102652,2024-01-14,Vivid Monitor 27in,Electronics,West,3,290.46,0.0,871.37,575.46,295.91
100007,2024-01-15,Aero Laptop 14,Electronics,East,2,876.14,0.0,1752.28,1213.05,539.23
100073,2024-01-15,Sharp Notebook Set,Office Supplies,East,2,12.27,0.0,24.54,16.16,8.38
100435,2024-01-15,Sharp Pen Pack,Office Supplies,North,1,8.2,0.0,8.2,4.55,3.65
100933,2024-01-15,Aero Laptop 16,Electronics,West,1,1304.55,0.0,1304.55,778.64,525.91
101235,2024-01-15,Buzz Bluetooth Speaker,Electronics,South,2,60.42,0.05,114.81,79.45,35.36
102739,2024-01-15,Sharp Pen Pack,Office Supplies,North,1,8.16,0.05,7.75,6.1,1.65
100455,2024-01-16,Comfy Bookshelf,Furniture,North,2,157.92,0.0,315.83,199.68,116.15
101090,2024-01-16,Sharp Notebook Set,Office Supplies,East,1,12.39,0.1,11.15,8.39,2.76
101413,2024-01-16,Buzz Bluetooth Speaker,Electronics,Central,1,57.68,0.0,57.68,37.53,20.15
101420,2024-01-16,Sharp Pen Pack,Office Supplies,West,2,7.51,0.0,15.03,8.56,6.47
101616,2024-01-16,Comfy Standing Desk,Furniture,South,1,435.3,0.1,391.77,257.63,134.14
102318,2024-01-16,Buzz Wireless Earbuds,Electronics,East,5,84.22,0.0,421.09,312.15,108.94
102493,2024-01-16,Sharp Notebook Set,Office Supplies,West,2,11.11,0.1,20.0,16.35,3.65
102740,2024-01-16,Vivid Monitor 27in,Electronics,East,1,296.01,0.0,296.01,182.21,113.8
103318,2024-01-16,Comfy Office Chair,Furniture,West,2,221.05,0.05,419.99,267.72,152.27
100171,2024-01-17,Sharp Notebook Set,Office Supplies,Central,2,12.65,0.0,25.31,18.48,6.83
101146,2024-01-17,Sharp Notebook Set,Office Supplies,North,2,11.48,0.0,22.96,14.11,8.85
101426,2024-01-17,Comfy Office Chair,Furniture,South,1,215.55,0.0,215.55,144.27,71.28
101521,2024-01-17,Sharp Pen Pack,Office Supplies,Central,1,8.37,0.1,7.54,5.75,1.79
